DENOMINACION_AF,CODIGO_FP,D_CONTENIDOS,D_OBJETIVOS,CODIGO_AREA_TRAD,Languagereveiw
PRESENTACIONES INGLÉS NIVEL AVANZADO MÓDULO 2,Formación complementaria,segu ide abstract complej text oral trat tem famili segu mensaj telefon clar coherent particip activ intercambi formal tem complej abstract resum propi palabr inform clav detall import text present oral segu ide principal palabr clav text escrit autent tem conoc sol parcial predec usar inferent ubic integr inform abstract text escrit demostr escrit buen domini estructur gramatical inclu clausul ortograf puntuacion leer complet varied text general literatur especializ tecnic are escrib adecu text formal segun neces academ social trabaj,Perfeccionar la lengua inglesa.,Lenguas extranjeras,es
ENGLISH: COMMUNICATION SKILLS II (B1.1),Formación complementaria,finaliz curs alumn capaz desenvolv dispon suficient element lingüist suficient vocabulari expres tem general profesional utiliz razon correccion repertori formul estructur habitual relacion situacion predec expres ide principal quier comunic manten discurs aunqu evident paus orden gramat lexic comprend punt principal text clar lengu estand si trat cuestion conoc escrib text sencill tem conoc interes personal competent comprension segu general ide principal debat larg ocurr alrededor siempr discurs articul clarid nivel lengu estand comprend lin general discurs sencill brev tem cotidian siempr desarroll pronunci estand clar comprend ide principal program radi television trat tem actual asunt interes personal profesional articul relat lent clar comprend text redact lengu uso habitual cotidian relacion trabaj reconoc ide signific articul sencill period trat tem cotidian encontr comprend inform relev material escrit uso cotidian pued ser cart catalog document oficial brev expresion oral desenvolv casi tod situacion present viaj habl lengu particip espontan convers trat tem cotidian interes personal profesional pertinent vid diari enlaz fras form sencill fin describ experient hech sueñ esper ambicion explic justific brevement opinion proyect narr histori relat tram libr pelicul pod describ reaccion expresion escrit produc text sencill bien enlaz coherent tem familiar interes personal profesional describ experient acontec dese aspir asi justific brevement opinion explic plan escrib cart personal profesional describ experient plan sentimient acontec ciert detall escrib not transmit inform sencill caract inmediat,"La finalidad principal de este curso es   La ampliación del campo semántico a través de expresiones idiomáticas, sinónimos, antónimos, connotaciones y de léxico sobre temas generales de interés para el alumnado y sus necesidades comunicativas.   La revisión y ampliación de las estructuras gramaticales y funciones principales adecuadas a distintos tipos de texto e intenciones comunicativas.",Lenguas extranjeras,es
PROPUESTA PEI INSTITUCIONAL,Servicios socioculturales y a la comunidad,fij piramid valor institucional conform entid bas futur decision pedagog metodolog optar clav leer nuev context conect nuev gener alumn famili socied perspect desarroll pei contribu gener piramid liderazg cultur organiz concret defin competent educ direct gui design puest direct respons nuev contrat formacion educ lider planteamient plan estrateg liderazg,"Provocar la fortaleza institucional para facilitar el funcionamiento de su red de centros, capaces de generar inteligencia, riqueza, innovación y energía colectiva.  Repensar nuestra tarea educativa para preparar a nuestros alumnos para vivir en el siglo XXI. Facilitar así un cambio de paradigma metodológico, pedagógico, pastoral, arquitectónico, organizativo y de liderazgo.",Formación y educación,es
PROFESSIONAL ENGLISH II (B2/C),Formación complementaria,present practic gramat expresion natural situacion convers practic dar enfasis ingles oral ampli vocabulari expresion idiomat relacion tem estudi desarroll convers debat present oral relacion tem discut examin text public ingles apreci caracterist aplic propi text trabaj grup profesor correccion desarroll text profesional segun neces competent comprension comprend discurs extens comprend esfuerz vide pelicul comprend acent form habl divers angloparl expresion oral expres fluidez espontan tom part activ debat utiliz lenguaj flexibil eficaci fin social profesional formul ide opinion precision relacion intervencion habil hablant present descripcion clar detall expresion escrit correg error tipic hispanoparl text escrit aprend aplic tecnic expresion escrit consegu autonom confi capac expres estil academ profesional,"Al finalizar el curso, el alumno será capaz de conversar en inglés con cierta fluidez y espontaneidad con angloparlantes,  tanto en un entorno social como profesional.  Podrá disponer de un buen control gramatical sin dar muestras de tener que restringir lo que dice y adoptando un nivel de formalidad adecuado a las circunstancias.  Tendrá más autonomía y confianza en su capacidad de expresarse en un estilo académico y profesional.",Lenguas extranjeras,es
G1 INGLÉS,Formación complementaria,conten mediant libr text eg business in use english gramm in use cambridg university press articul prens libr ingles cin jueg conversacion ingles estudi topic relev are trabaj redaccion cart llam telefon present etc estudi vocabulari gramat,"OBTENER UN NIVEL SUPERIOR de ingles técnico hablado y escrito, fluidez y entendimiento del idioma para poder conversar en ingles a buen nivel incorporando terminos coloquiales.",Lenguas extranjeras,es
G2 INGLÉS,Formación complementaria,conten mediant libr text eg business in use english gramm in use cambridg university press articul prens libr ingles cin jueg conversacion ingles estudi topic relev are trabaj redaccion cart llam telefon present etc estudi vocabulari gramat,"OBTENER UN NIVEL SUPERIOR de ingles técnico hablado y escrito, fluidez y entendimiento del idioma para poder conversar en ingles a buen nivel incorporando terminos coloquiales.",Lenguas extranjeras,es
G3 INGLÉS,Formación complementaria,conten mediant libr text eg business in use english gramm in use cambridg university press articul prens libr ingles cin jueg conversacion ingles estudi topic relev are trabaj redaccion cart llam telefon present etc estudi vocabulari gramat,"OBTENER UN NIVEL SUPERIOR de ingles técnico hablado y escrito, fluidez y entendimiento del idioma para poder conversar en ingles a buen nivel incorporando terminos coloquiales.",Lenguas extranjeras,es
MASTER. CONTABILIDAD Y FINANZAS CORPORATIVAS,Administración y gestión,contabil i ii contabil sociedad impuest sociedad impuest valor añad analisis balanc financi empres calcul salari finiquit analisis inversion valor empres elabor presupuest gestion tesor habil direct gestion proyect evalu final,"Dotar al alumno de los conocimientos teórico-prácticos necesarios para la gestión de aspectos Fiscales, Financieros y Contables dentro del entorno empresarial.",Administración y auditoría,de
G4 INGLÉS,Formación complementaria,conten mediant libr text eg business in use english gramm in use cambridg university press articul prens libr ingles cin jueg conversacion ingles estudi topic relev are trabaj redaccion cart llam telefon present etc estudi vocabulari gramat,"OBTENER UN NIVEL SUPERIOR de ingles técnico hablado y escrito, fluidez y entendimiento del idioma para poder conversar en ingles a buen nivel incorporando terminos coloquiales.",Lenguas extranjeras,es
EXCEL 2010,Informática y comunicaciones,introduccion excel microsoft excel entrar sal program ventan microsoft excel concept hoj calcul introduccion dat oper basic cerr cre nuev libr trabaj divers form guard libr abrir libr trabaj desplaz hoj calcul dat excel vist previ impresion imprim trabaj celd com seleccion vari celd copi mov bloqu modif dat comand deshac rehac busqued reemplaz dat insert elimin celd repeticion caracter com sum format text hoj calcul tip letr alin dat aplic tram bord color sangr configur pagin encabez pies pagin salt pagin estil valid dat uso nombr referent extern seleccion hoj calcul mov copi hoj calcul insert elimin hoj calcul general hoj calcul uso nombr ayud offic ayud offic visualiz libr trabaj form ver hoj calcul cuadr nombr formul pantall complet zoom visualiz libr hoj gestion ventan format hoj rellen automat celd celd referent relat absolut mixt format dat numer format condicional proteccion dat libr compart comentari creacion esquem herramient util excel autocorreccion orden calcul automat barr caracterist excel formul funcion i cre formul localiz error formul calcul subtotal rang funcion funcion estadist matemat funcion financ funcion euroconvert funcion inform formul funcion ii funcion fech hor funcion text funcion logic funcion busqued referent creacion grafic wordart insert elimin imagen insert grafic minigraf,Para conocer a fondo las hojas de cálculo y los libros de trabajo. Conocerá a fondo las principales fórmulas que se usan día a día.,Sistemas y telemática,es
WORD 2010,Informática y comunicaciones,introduccion word microsoft word entrar sal program ventan microsoft word cint opcion composicion descripcion tecl oper basic oper basic cerr cre nuev document diferent form guard document abrir vari document desplaz document impresion rap vist previ impresion imprim trabaj vari document fich vist vist document grup mostr zoom ayud offic ayud offic funcion basic trabaj seleccion bloqu text copi mov borr bloqu text tip letr busqued sustitu palabr clav deshac rehac repet format text i alin justif espaci parraf lin caracter tip sangr tabul viñet parraf enumer format text ii bord sombr text letr capital convert mayuscul minuscul creacion column copi format division palabr guion format pagin document configur pagin seccion salt encabez pies pagin numer pagin not pie pagin not final comentari utiliz herramient text correg ortograf gramat opcion corrector ortograf autocorreccion sinon insert caracter especial simbol tabl cre dibuj tabl cambi posicion tamañ tabl desplaz tabl seleccion celd manipul conten tabl cambi dimension celd insert elimin fil column sangr alin celd unir divid celd bord sombr tabl trabaj matemat tabl grafic wordart insert elimin imagen herramient imag situ imagen pagin automatiz tar plantill estil macr fech hor cart sobr etiquet combin correspondent herramient correspondent cre sobr etiquet,"Para utilizar las herramientas necesarias para editar todo tipo de documentos de texto: crear y modificar cualquier texto, insertar gráficos e imágenes, y trabajar con tablas, columnas, grandes documentos, correcciones de escritura, etc.",Sistemas y telemática,es
